STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-19,60.0,80.0,,,1124.0,0.0,67.0,0.0,0.0,,48.0,35.0,492.0,,,,45.0,45.0,,,,,16.1,16.1,,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-20,50.0,40.0,,,2036.0,0.02,75.0,0.0,0.0,,55.0,36.0,546.0,,,,225.0,225.0,,,,,24.2,19.0,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-21,70.0,90.0,,,1500.0,0.36,24.0,0.0,0.0,,49.0,36.0,174.0,,,,315.0,315.0,,,,,41.4,28.0,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-22,80.0,90.0,,,2248.0,0.13,74.0,0.0,0.0,,48.0,38.0,540.0,,,,90.0,90.0,,,,,30.0,19.9,,,,1.0,,,,,,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-23,90.0,100.0,,,30.0,0.66,0.0,0.0,0.0,,45.0,38.0,0.0,,,,45.0,45.0,,,,,34.4,30.0,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-24,50.0,80.0,,,1536.0,0.0,35.0,0.0,0.0,,50.0,36.0,258.0,,,,270.0,270.0,,,,,32.2,25.1,,,,,,,,1.0,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-25,40.0,30.0,,,1518.0,0.0,90.0,0.0,0.0,,53.0,38.0,666.0,,,,315.0,315.0,,,,,40.3,25.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-26,100.0,100.0,,,2318.0,0.26,14.0,0.0,0.0,,57.0,40.0,102.0,,,,180.0,180.0,,,,,38.0,29.1,1.0,,,,,,,,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-27,40.0,40.0,,,1124.0,0.2,92.0,0.0,0.0,,56.0,39.0,690.0,,,,270.0,315.0,,,,,47.2,36.9,1.0,,,,,,,,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-03-28,40.0,60.0,,,1536.0,0.0,85.0,0.0,0.0,,52.0,36.0,636.0,,,,225.0,180.0,,,,,28.9,25.1,,,,,,,,,,,,,,,,,,,,
